feature_a,feature_b,association,absolute_association,method
PREV_APPLICATION_COUNT,PREV_UNIQUE_APPLICATION_COUNT,1.0,1.0,Spearman rho on observed values
BUREAU_CREDIT_COUNT,BUREAU_UNIQUE_CREDIT_COUNT,1.0,1.0,Spearman rho on observed values
CREDIT_TO_GOODS,DOWN_PAYMENT_RATE,-1.0,1.0,Spearman rho on observed values
BUREAU_OVERDUE_MAX,BUREAU_OVERDUE_SUM,0.9999999082635775,0.9999999082635775,Spearman rho on observed values
BUREAU_OVERDUE_SUM,BUREAU_OVERDUE_TO_CREDIT,0.9999943416214876,0.9999943416214876,Spearman rho on observed values
BUREAU_OVERDUE_MAX,BUREAU_OVERDUE_TO_CREDIT,0.9999943050468599,0.9999943050468599,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_DAYS_OVERDUE_MEAN,0.999991725311653,0.999991725311653,Spearman rho on observed values
BUREAU_PROLONG_MAX,BUREAU_PROLONG_SUM,0.9999912234091448,0.9999912234091448,Spearman rho on observed values
BUREAU_OVERDUE_CREDIT_COUNT,BUREAU_OVERDUE_RATE,0.9999701234763423,0.9999701234763423,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MEAN,BUREAU_OVERDUE_CREDIT_COUNT,0.9999658254363907,0.9999658254363907,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_OVERDUE_CREDIT_COUNT,0.9999634618866042,0.9999634618866042,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MEAN,BUREAU_OVERDUE_RATE,0.9999581498638592,0.9999581498638592,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_OVERDUE_RATE,0.9999308558935509,0.9999308558935509,Spearman rho on observed values
BB_SEVERE_DELINQUENT_MONTHS,BB_SEVERE_DELINQUENT_MONTH_RATE,0.9999237074705389,0.9999237074705389,Spearman rho on observed values
EMPLOYMENT_SENTINEL,FLAG_EMP_PHONE,-0.9998658180032235,0.9998658180032235,Spearman rho on observed values
POS_DPD_MAX,POS_DPD_SUM,0.9987760545248721,0.9987760545248721,Spearman rho on observed values
CC_DPD_DEF_MONTH_COUNT,CC_DPD_DEF_MONTH_RATE,0.9987330968555114,0.9987330968555114,Spearman rho on observed values
POS_DPD_DEF_MAX,POS_DPD_DEF_MEAN,0.9986796889851947,0.9986796889851947,Spearman rho on observed values
POS_DPD_MEAN,POS_DPD_SUM,0.9986280213606262,0.9986280213606262,Spearman rho on observed values
CC_BALANCE_MAX,CC_RECEIVABLE_MAX,0.9984912738756383,0.9984912738756383,Spearman rho on observed values
YEARS_BUILD_AVG,YEARS_BUILD_MEDI,0.9983391509166388,0.9983391509166388,Spearman rho on observed values
CC_MONTH_COUNT,CC_OLDEST_MONTH,-0.9979299038565534,0.9979299038565534,Spearman rho on observed values
POS_DPD_MAX,POS_DPD_MEAN,0.9978737102277904,0.9978737102277904,Spearman rho on observed values
POS_DPD_DEF_MEAN,POS_DPD_DEF_MONTH_RATE,0.9978679380554039,0.9978679380554039,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MEDI,0.9976187872331035,0.9976187872331035,Spearman rho on observed values
POS_DPD_DEF_MONTH_COUNT,POS_DPD_DEF_MONTH_RATE,0.9976080458665806,0.9976080458665806,Spearman rho on observed values
OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,0.9975010075431574,0.9975010075431574,Spearman rho on observed values
CC_BALANCE_MEAN,CC_RECEIVABLE_MEAN,0.9974976878568261,0.9974976878568261,Spearman rho on observed values
CC_DPD_MAX,CC_DPD_MEAN,0.9973795041243461,0.9973795041243461,Spearman rho on observed values
CC_DPD_MONTH_COUNT,CC_DPD_MONTH_RATE,0.9973018874566291,0.9973018874566291,Spearman rho on observed values
CC_DPD_MEAN,CC_DPD_MONTH_RATE,0.9972783945948543,0.9972783945948543,Spearman rho on observed values
POS_DPD_MEAN,POS_DPD_MONTH_RATE,0.9967344476225403,0.9967344476225403,Spearman rho on observed values
FLOORSMIN_AVG,FLOORSMIN_MEDI,0.9966601799891941,0.9966601799891941,Spearman rho on observed values
COMMONAREA_AVG,COMMONAREA_MEDI,0.9965110270700236,0.9965110270700236,Spearman rho on observed values
POS_ACTIVE_MONTH_COUNT,POS_MONTH_COUNT,0.9963741875372633,0.9963741875372633,Spearman rho on observed values
POS_DPD_MONTH_COUNT,POS_DPD_MONTH_RATE,0.9963708635828317,0.9963708635828317,Spearman rho on observed values
POS_DPD_DEF_MEAN,POS_DPD_DEF_MONTH_COUNT,0.9962450230235548,0.9962450230235548,Spearman rho on observed values
POS_DPD_MONTH_COUNT,POS_DPD_SUM,0.9961900386674196,0.9961900386674196,Spearman rho on observed values
LANDAREA_AVG,LANDAREA_MEDI,0.9961775019828459,0.9961775019828459,Spearman rho on observed values
LIVINGAREA_AVG,LIVINGAREA_MEDI,0.9953424390796124,0.9953424390796124,Spearman rho on observed values
LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MEDI,0.9952809867140104,0.9952809867140104,Spearman rho on observed values
BASEMENTAREA_AVG,BASEMENTAREA_MEDI,0.9952187976057677,0.9952187976057677,Spearman rho on observed values
INST_DUE_SUM,INST_PAID_SUM,0.9951434294931292,0.9951434294931292,Spearman rho on observed values
FLOORSMAX_AVG,FLOORSMAX_MEDI,0.994974618971248,0.994974618971248,Spearman rho on observed values
POS_DPD_DEF_MAX,POS_DPD_DEF_MONTH_COUNT,0.9947952303299484,0.9947952303299484,Spearman rho on observed values
POS_DPD_MEAN,POS_DPD_MONTH_COUNT,0.9946364880020081,0.9946364880020081,Spearman rho on observed values
POS_DPD_DEF_MAX,POS_DPD_DEF_MONTH_RATE,0.9944091499426873,0.9944091499426873,Spearman rho on observed values
POS_DPD_MONTH_RATE,POS_DPD_SUM,0.9941455038404259,0.9941455038404259,Spearman rho on observed values
