source_group,factor_count,shap_share,gain_share,median_missing_rate
External scores,8,0.22379926200804615,0.37834468558551093,0.0012357187764216184
Installment repayments,23,0.12848211469087673,0.1038253039006801,0.05263728402020509
Application derived,11,0.12798517723620875,0.11422544899395287,0.0
Previous applications,30,0.12044856676767528,0.1045755693797754,0.054328267608992564
POS/cash loan history,20,0.08325187606713454,0.05623911859322962,0.06035510655364537
Credit bureau,31,0.08163459893959926,0.08634870724102157,0.1424762069937347
Application financial,9,0.07512701126852334,0.04601367634241588,0.003338608624016303
Application categorical,4,0.04239730313707671,0.016658513419151286,0.0
Credit card history,25,0.04205896449672573,0.041504564210633976,0.7222884644568257
Application property,47,0.031657537516375484,0.0339153678613027,0.5552929954256726
Application verified flags,8,0.015582717046164311,0.004573731761771794,0.0
Bureau monthly status,10,0.01053810329364469,0.006504964978099035,0.6979209573568625
Application documents,20,0.009317376835955448,0.004300570007106392,0.0
Application credit enquiries,6,0.00660431827283286,0.002538882905597378,0.13432479892470786
Source availability,5,0.001115072423160797,0.00043089481975105856,0.0
