transformed_feature,raw_feature,is_missing_indicator,gain,gain_share,split_count,mean_abs_shap_log_odds,shap_share
numeric__EXT_SOURCE_MEAN,EXT_SOURCE_MEAN,False,147271.45757961273,0.23778315155226679,466,0.3918872516292937,0.12568414188036456
numeric__EMPLOYMENT_YEARS,EMPLOYMENT_YEARS,False,12002.61821269989,0.01937931784203042,453,0.09595612107058625,0.03077457274964721
numeric__AMT_ANNUITY,AMT_ANNUITY,False,10005.397147655487,0.01615462293510247,483,0.09547105507064672,0.030619004780277768
numeric__EXT_SOURCE_MAX,EXT_SOURCE_MAX,False,27488.724848508835,0.04438304430509274,359,0.09503145347786121,0.030478017930798025
numeric__CREDIT_TO_ANNUITY,CREDIT_TO_ANNUITY,False,18665.89742255211,0.030137787651666463,725,0.09110649670390976,0.02921922519895827
categorical__NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE,False,6602.092536449432,0.010659678365089846,139,0.08406446109162508,0.02696073835270025
numeric__PREV_CREDIT_TO_APPLICATION_MEAN,PREV_CREDIT_TO_APPLICATION_MEAN,False,10197.103684902191,0.016464150560813996,339,0.06831597511697159,0.02190996179028317
numeric__INST_PAID_SUM,INST_PAID_SUM,False,7708.310654163361,0.012445768043682446,280,0.06689487865668178,0.021454194759336975
numeric__PREV_HIGH_YIELD_COUNT,PREV_HIGH_YIELD_COUNT,False,3038.7099232673645,0.0049062733138025665,168,0.05504356763045247,0.01765330087902788
numeric__CREDIT_TO_GOODS,CREDIT_TO_GOODS,False,8126.803742408752,0.01312146316520344,287,0.054496180883966794,0.01747774570793541
numeric__EXT_SOURCE_MIN,EXT_SOURCE_MIN,False,23126.614185333252,0.0373400202326996,374,0.051926273731732024,0.016653537791505465
numeric__POS_INSTALLMENT_COUNT_MAX,POS_INSTALLMENT_COUNT_MAX,False,3465.589776277542,0.005595509629183342,182,0.0493917464564906,0.015840676734309275
numeric__POS_FUTURE_INSTALLMENTS_MEAN,POS_FUTURE_INSTALLMENTS_MEAN,False,6577.3401918411255,0.010619713455351044,338,0.04852186546670799,0.015561692803894793
numeric__DOWN_PAYMENT_RATE,DOWN_PAYMENT_RATE,False,6146.362581253052,0.009923860937977138,173,0.045910677152446594,0.014724245397270741
numeric__INST_RECENT_12M_LATE_COUNT,INST_RECENT_12M_LATE_COUNT,False,4520.438403129578,0.007298658596578234,142,0.04586826122510355,0.014710641970754551
numeric__POS_LATEST_MONTH,POS_LATEST_MONTH,False,3370.7956902980804,0.005442455962959336,204,0.04473786181313076,0.014348105859959442
numeric__INST_RECENT_24M_LATE_COUNT,INST_RECENT_24M_LATE_COUNT,False,5507.464836597443,0.008892302469414274,132,0.04146968924882993,0.013299953712745283
numeric__BUREAU_DEBT_TO_CREDIT,BUREAU_DEBT_TO_CREDIT,False,7479.934592962265,0.012077034139204492,291,0.040417340392642394,0.012962449590325324
numeric__missingindicator_EXT_SOURCE_1,EXT_SOURCE_1,True,2584.3468403816223,0.004172662826249873,82,0.03936170753122771,0.012623892237984801
numeric__PREV_REFUSAL_RATE,PREV_REFUSAL_RATE,False,7786.14767408371,0.012571442985781067,246,0.03881039098595474,0.012447076721253916
numeric__POS_ACTIVE_MONTH_COUNT,POS_ACTIVE_MONTH_COUNT,False,3888.12064409256,0.006277724112752612,159,0.03735625811095359,0.011980714414711139
numeric__PREV_ANNUITY_MEAN,PREV_ANNUITY_MEAN,False,3485.1220450401306,0.005627046252094971,260,0.03707081800008488,0.011889169473548556
numeric__EXT_SOURCE_3,EXT_SOURCE_3,False,15150.431948900223,0.024461749176619505,322,0.03650526649783591,0.011707788591792924
categorical__NAME_INCOME_TYPE,NAME_INCOME_TYPE,False,2775.8272910118103,0.004481825414573418,89,0.03545941523094624,0.011372368344088966
numeric__OWN_CAR_AGE,OWN_CAR_AGE,False,2668.009690761566,0.004307744101047704,140,0.033871109157239496,0.010862974672599906
numeric__AMT_GOODS_PRICE,AMT_GOODS_PRICE,False,5240.364693403244,0.008461045015508485,251,0.03255371293297466,0.010440465868665184
numeric__INST_LATE_PAYMENT_RATE,INST_LATE_PAYMENT_RATE,False,5201.754661083221,0.008398705609642098,185,0.03207733440197684,0.01028768410138451
numeric__INST_LATE_DAYS_MEAN,INST_LATE_DAYS_MEAN,False,4764.585028171539,0.007692855509526856,217,0.029707851273486883,0.009527755186968146
numeric__EXT_SOURCE_2,EXT_SOURCE_2,False,6234.307625055313,0.010065856203199521,302,0.02953272254994321,0.009471588768576941
numeric__BUREAU_DAYS_SINCE_CREDIT_MIN,BUREAU_DAYS_SINCE_CREDIT_MIN,False,7254.319155454636,0.011712757512551249,436,0.029341752557792415,0.009410341816836145
