account_ref,account_kind,months_ago,dpd_days,dpd_days_tolerant,contract_status,balance,credit_limit,installments_total,installments_remaining
POS-2001,installment,0,0,0,Active,,,48.0,18.0
POS-2001,installment,1,0,0,Active,,,48.0,19.0
POS-2001,installment,2,0,0,Active,,,48.0,20.0
POS-2001,installment,3,0,0,Active,,,48.0,21.0
POS-2001,installment,4,0,0,Active,,,48.0,22.0
POS-2001,installment,5,0,0,Active,,,48.0,23.0
POS-2001,installment,6,0,0,Active,,,48.0,24.0
POS-2001,installment,7,0,0,Active,,,48.0,25.0
POS-2001,installment,8,0,0,Active,,,48.0,26.0
POS-2001,installment,9,0,0,Active,,,48.0,27.0
POS-2001,installment,10,0,0,Active,,,48.0,28.0
POS-2001,installment,11,0,0,Active,,,48.0,29.0
POS-2001,installment,12,0,0,Active,,,48.0,30.0
POS-2001,installment,13,0,0,Active,,,48.0,31.0
POS-2001,installment,14,0,0,Active,,,48.0,32.0
POS-2001,installment,15,0,0,Active,,,48.0,33.0
POS-2001,installment,16,0,0,Active,,,48.0,34.0
POS-2001,installment,17,0,0,Active,,,48.0,35.0
POS-2001,installment,18,0,0,Active,,,48.0,36.0
POS-2001,installment,19,0,0,Active,,,48.0,37.0
POS-2001,installment,20,0,0,Active,,,48.0,38.0
POS-2001,installment,21,0,0,Active,,,48.0,39.0
POS-2001,installment,22,0,0,Active,,,48.0,40.0
POS-2001,installment,23,0,0,Active,,,48.0,41.0
POS-2001,installment,24,0,0,Active,,,48.0,42.0
POS-2001,installment,25,0,0,Active,,,48.0,43.0
POS-2001,installment,26,0,0,Active,,,48.0,44.0
POS-2001,installment,27,0,0,Active,,,48.0,45.0
POS-2001,installment,28,0,0,Active,,,48.0,46.0
POS-2001,installment,29,0,0,Active,,,48.0,47.0
CC-3001,revolving,0,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,1,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,2,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,3,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,4,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,5,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,6,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,7,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,8,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,9,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,10,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,11,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,12,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,13,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,14,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,15,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,16,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,17,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,18,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,19,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,20,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,21,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,22,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,23,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,24,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,25,0,0,Active,34000.0,200000.0,,
CC-3001,revolving,26,0,0,Active,30000.0,200000.0,,
CC-3001,revolving,27,0,0,Active,38000.0,200000.0,,
CC-3001,revolving,28,0,0,Active,24000.0,200000.0,,
CC-3001,revolving,29,0,0,Active,34000.0,200000.0,,
