account_ref,months_ago,status
TL-1001,0,0
TL-1001,1,0
TL-1001,2,0
TL-1001,3,0
TL-1001,4,0
TL-1001,5,0
TL-1001,6,0
TL-1001,7,0
TL-1001,8,0
TL-1001,9,0
TL-1001,10,0
TL-1001,11,0
TL-1001,12,0
TL-1001,13,0
TL-1001,14,0
TL-1001,15,0
TL-1001,16,0
TL-1001,17,0
TL-1001,18,C
TL-1001,19,C
TL-1001,20,C
TL-1001,21,C
TL-1001,22,C
TL-1001,23,C
TL-1001,24,C
TL-1001,25,C
TL-1001,26,C
TL-1001,27,C
TL-1001,28,C
TL-1001,29,C
TL-1001,30,C
TL-1001,31,C
TL-1001,32,C
TL-1001,33,C
TL-1001,34,C
TL-1001,35,C
TL-1001,36,C
TL-1001,37,C
TL-1001,38,C
TL-1001,39,C
TL-1002,0,0
TL-1002,1,0
TL-1002,2,0
TL-1002,3,0
TL-1002,4,0
TL-1002,5,0
TL-1002,6,0
TL-1002,7,0
TL-1002,8,0
TL-1002,9,0
TL-1002,10,0
TL-1002,11,0
TL-1002,12,C
TL-1002,13,C
TL-1002,14,C
TL-1002,15,C
TL-1002,16,C
TL-1002,17,C
TL-1002,18,C
TL-1002,19,C
TL-1002,20,C
TL-1002,21,C
TL-1002,22,C
TL-1002,23,C
TL-1002,24,C
TL-1002,25,C
TL-1002,26,C
TL-1002,27,C
TL-1002,28,C
TL-1002,29,C
TL-1002,30,C
TL-1002,31,C
TL-1002,32,C
TL-1002,33,C
TL-1002,34,C
TL-1002,35,C
TL-1002,36,C
TL-1002,37,C
TL-1002,38,C
TL-1002,39,C
TL-1003,0,0
TL-1003,1,0
TL-1003,2,0
TL-1003,3,0
TL-1003,4,0
TL-1003,5,0
TL-1003,6,0
TL-1003,7,0
TL-1003,8,0
TL-1003,9,0
TL-1003,10,0
TL-1003,11,0
TL-1003,12,0
TL-1003,13,0
TL-1003,14,0
TL-1003,15,0
TL-1003,16,0
TL-1003,17,0
TL-1003,18,0
TL-1003,19,0
TL-1003,20,0
TL-1003,21,0
TL-1003,22,0
TL-1003,23,0
TL-1003,24,0
TL-1003,25,0
TL-1003,26,0
TL-1003,27,0
TL-1003,28,0
TL-1003,29,0
TL-1003,30,0
TL-1003,31,0
TL-1004,0,0
TL-1004,1,0
TL-1004,2,0
TL-1004,3,0
TL-1004,4,0
TL-1004,5,0
TL-1004,6,0
TL-1004,7,0
TL-1004,8,0
TL-1004,9,0
TL-1004,10,0
TL-1004,11,0
TL-1004,12,0
TL-1004,13,0
TL-1004,14,0
TL-1004,15,0
TL-1004,16,0
TL-1004,17,0
TL-1004,18,0
TL-1004,19,0
TL-1004,20,0
TL-1004,21,0
TL-1004,22,0
TL-1004,23,0
TL-1004,24,0
TL-1004,25,0
TL-1004,26,0
TL-1004,27,0
TL-1004,28,0
TL-1004,29,0
TL-1004,30,0
TL-1004,31,0
TL-1004,32,0
TL-1004,33,0
TL-1004,34,0
TL-1004,35,0
TL-1004,36,0
TL-1004,37,0
TL-1004,38,0
TL-1004,39,0
