account_ref,account_kind,months_ago,dpd_days,dpd_days_tolerant,contract_status,balance,credit_limit,installments_total,installments_remaining
POS-6001,installment,0,0,0,Active,,,60.0,34.0
POS-6001,installment,1,0,0,Active,,,60.0,35.0
POS-6001,installment,2,0,0,Active,,,60.0,36.0
POS-6001,installment,3,0,0,Active,,,60.0,37.0
POS-6001,installment,4,0,0,Active,,,60.0,38.0
POS-6001,installment,5,0,0,Active,,,60.0,39.0
POS-6001,installment,6,0,0,Active,,,60.0,40.0
POS-6001,installment,7,0,0,Active,,,60.0,41.0
POS-6001,installment,8,0,0,Active,,,60.0,42.0
POS-6001,installment,9,0,0,Active,,,60.0,43.0
POS-6001,installment,10,0,0,Active,,,60.0,44.0
POS-6001,installment,11,0,0,Active,,,60.0,45.0
POS-6001,installment,12,0,0,Active,,,60.0,46.0
POS-6001,installment,13,0,0,Active,,,60.0,47.0
POS-6001,installment,14,0,0,Active,,,60.0,48.0
POS-6001,installment,15,0,0,Active,,,60.0,49.0
POS-6001,installment,16,0,0,Active,,,60.0,50.0
POS-6001,installment,17,0,0,Active,,,60.0,51.0
POS-6001,installment,18,0,0,Active,,,60.0,52.0
POS-6001,installment,19,0,0,Active,,,60.0,53.0
POS-6001,installment,20,0,0,Active,,,60.0,54.0
POS-6001,installment,21,0,0,Active,,,60.0,55.0
POS-6001,installment,22,0,0,Active,,,60.0,56.0
POS-6001,installment,23,0,0,Active,,,60.0,57.0
POS-6001,installment,24,0,0,Active,,,60.0,58.0
POS-6001,installment,25,0,0,Active,,,60.0,59.0
CC-7001,revolving,0,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,1,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,2,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,3,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,4,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,5,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,6,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,7,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,8,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,9,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,10,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,11,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,12,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,13,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,14,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,15,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,16,0,0,Active,36900.0,90000.0,,
CC-7001,revolving,17,0,0,Active,34200.0,90000.0,,
CC-7001,revolving,18,0,0,Active,31500.0,90000.0,,
CC-7001,revolving,19,0,0,Active,36900.0,90000.0,,
