account_ref,months_ago,status
TL-3001,0,0
TL-3001,1,0
TL-3001,2,0
TL-3001,3,0
TL-3001,4,0
TL-3001,5,0
TL-3001,6,0
TL-3001,7,0
TL-3001,8,0
TL-3001,9,0
TL-3001,10,0
TL-3001,11,0
TL-3001,12,0
TL-3001,13,0
TL-3001,14,0
TL-3001,15,0
TL-3001,16,0
TL-3001,17,0
TL-3001,18,0
TL-3001,19,0
TL-3001,20,0
TL-3001,21,0
TL-3001,22,0
TL-3001,23,0
TL-3001,24,0
TL-3001,25,0
TL-3001,26,0
TL-3001,27,0
TL-3001,28,0
TL-3001,29,0
TL-3001,30,0
TL-3001,31,0
TL-3001,32,0
TL-3001,33,0
TL-3001,34,0
TL-3001,35,0
TL-3001,36,0
TL-3001,37,0
TL-3001,38,0
TL-3001,39,0
TL-3002,0,0
TL-3002,1,0
TL-3002,2,0
TL-3002,3,0
TL-3002,4,0
TL-3002,5,0
TL-3002,6,0
TL-3002,7,0
TL-3002,8,0
TL-3002,9,0
TL-3002,10,0
TL-3002,11,0
TL-3002,12,0
TL-3002,13,0
TL-3002,14,0
TL-3002,15,0
TL-3002,16,0
TL-3002,17,0
TL-3002,18,0
TL-3002,19,0
TL-3002,20,0
TL-3002,21,0
TL-3002,22,0
TL-3002,23,0
TL-3002,24,0
TL-3002,25,0
TL-3002,26,0
TL-3003,0,0
TL-3003,1,0
TL-3003,2,0
TL-3003,3,0
TL-3003,4,0
TL-3003,5,0
TL-3003,6,0
TL-3003,7,0
TL-3003,8,0
TL-3003,9,0
TL-3003,10,0
TL-3003,11,0
TL-3003,12,0
TL-3003,13,0
