account_ref,account_kind,months_ago,dpd_days,dpd_days_tolerant,contract_status,balance,credit_limit,installments_total,installments_remaining
POS-4001,installment,0,46,16,Active,,,36.0,14.0
POS-4001,installment,1,31,1,Active,,,36.0,15.0
POS-4001,installment,2,12,0,Active,,,36.0,16.0
POS-4001,installment,3,0,0,Active,,,36.0,17.0
POS-4001,installment,4,0,0,Active,,,36.0,18.0
POS-4001,installment,5,0,0,Active,,,36.0,19.0
POS-4001,installment,6,0,0,Active,,,36.0,20.0
POS-4001,installment,7,0,0,Active,,,36.0,21.0
POS-4001,installment,8,0,0,Active,,,36.0,22.0
POS-4001,installment,9,0,0,Active,,,36.0,23.0
POS-4001,installment,10,0,0,Active,,,36.0,24.0
POS-4001,installment,11,0,0,Active,,,36.0,25.0
POS-4001,installment,12,0,0,Active,,,36.0,26.0
POS-4001,installment,13,0,0,Active,,,36.0,27.0
POS-4001,installment,14,0,0,Active,,,36.0,28.0
POS-4001,installment,15,0,0,Active,,,36.0,29.0
POS-4001,installment,16,0,0,Active,,,36.0,30.0
POS-4001,installment,17,0,0,Active,,,36.0,31.0
POS-4001,installment,18,0,0,Active,,,36.0,32.0
POS-4001,installment,19,0,0,Active,,,36.0,33.0
POS-4001,installment,20,0,0,Active,,,36.0,34.0
POS-4001,installment,21,0,0,Active,,,36.0,35.0
CC-5001,revolving,0,22,0,Active,111600.0,120000.0,,
CC-5001,revolving,1,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,2,8,0,Active,114000.0,120000.0,,
CC-5001,revolving,3,0,0,Active,109200.0,120000.0,,
CC-5001,revolving,4,0,0,Active,111600.0,120000.0,,
CC-5001,revolving,5,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,6,0,0,Active,114000.0,120000.0,,
CC-5001,revolving,7,0,0,Active,109200.0,120000.0,,
CC-5001,revolving,8,0,0,Active,111600.0,120000.0,,
CC-5001,revolving,9,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,10,0,0,Active,114000.0,120000.0,,
CC-5001,revolving,11,0,0,Active,109200.0,120000.0,,
CC-5001,revolving,12,0,0,Active,111600.0,120000.0,,
CC-5001,revolving,13,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,14,0,0,Active,114000.0,120000.0,,
CC-5001,revolving,15,0,0,Active,109200.0,120000.0,,
CC-5001,revolving,16,0,0,Active,111600.0,120000.0,,
CC-5001,revolving,17,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,18,0,0,Active,114000.0,120000.0,,
CC-5001,revolving,19,0,0,Active,109200.0,120000.0,,
CC-5001,revolving,20,0,0,Active,111600.0,120000.0,,
CC-5001,revolving,21,0,0,Active,105600.0,120000.0,,
CC-5001,revolving,22,0,0,Active,114000.0,120000.0,,
CC-5001,revolving,23,0,0,Active,109200.0,120000.0,,
