account_ref,months_ago,status
TL-2001,0,2
TL-2001,1,1
TL-2001,2,1
TL-2001,3,0
TL-2001,4,0
TL-2001,5,0
TL-2001,6,0
TL-2001,7,0
TL-2001,8,0
TL-2001,9,0
TL-2001,10,0
TL-2001,11,0
TL-2001,12,0
TL-2001,13,0
TL-2001,14,0
TL-2001,15,0
TL-2001,16,0
TL-2001,17,0
TL-2001,18,0
TL-2001,19,0
TL-2002,0,1
TL-2002,1,0
TL-2002,2,1
TL-2002,3,0
TL-2002,4,0
TL-2002,5,0
TL-2002,6,0
TL-2002,7,0
TL-2002,8,0
TL-2002,9,0
TL-2002,10,0
TL-2002,11,0
TL-2002,12,0
TL-2002,13,0
TL-2002,14,0
TL-2002,15,0
TL-2002,16,0
TL-2002,17,0
TL-2002,18,0
TL-2002,19,0
TL-2002,20,0
TL-2002,21,0
TL-2002,22,0
TL-2002,23,0
TL-2002,24,0
TL-2002,25,0
TL-2002,26,0
TL-2002,27,0
TL-2003,0,0
TL-2003,1,0
TL-2003,2,0
TL-2003,3,0
TL-2003,4,0
TL-2003,5,0
TL-2003,6,0
TL-2003,7,0
TL-2003,8,C
TL-2003,9,C
TL-2003,10,C
TL-2003,11,C
TL-2003,12,C
TL-2003,13,C
TL-2003,14,C
TL-2003,15,C
TL-2003,16,C
TL-2003,17,C
TL-2003,18,C
TL-2003,19,C
TL-2003,20,C
TL-2003,21,C
TL-2003,22,C
TL-2003,23,C
TL-2003,24,C
TL-2003,25,C
TL-2003,26,C
TL-2003,27,C
TL-2003,28,C
TL-2003,29,C
